"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CA7",-3.14430426275051,5.63429901085299,-32.2370644283653,7.09536567719276e-132,1.51606678424578e-127,289.719234712314
"BEST4",-3.13459951441641,3.55515978475897,-30.1260938828218,4.02939607595396e-121,4.30480529774541e-117,265.226654345461
"SLC30A10",-3.79846988622383,3.14572477377094,-29.6709254898845,8.84944345341871e-119,6.30286860897325e-115,259.890898745176
"GUCA2B",-5.91079006178529,4.55544187892137,-28.6344798642053,2.02161715254764e-113,1.07989734246214e-109,247.677056179294
"TRPM6",-2.90280417543918,4.17563373963761,-28.0105125407067,3.53204474910211e-110,1.5093840030813e-106,240.284965364505
"SLC4A4",-1.97951986765622,3.03582734650427,-25.9363202211706,2.48419198300476e-99,8.84662168347711e-96,215.544322814767
"LOC105369890",-1.78413216606704,2.97968564211111,-25.7435342780033,2.55552168094625e-98,7.8005473938255e-95,213.234682868388
"MIER3",-2.6680463709151,4.10256979686495,-25.612737769796,1.24325000734767e-97,3.32056536337472e-94,211.666983089612
"CA1",-1.29802830365213,3.03480325604273,-25.4427354416234,9.7251901076511e-97,2.30886818922424e-93,209.628579865162
"CDKN2B-AS1",-1.64677701496941,2.87344778605299,-24.5234217596955,6.65720570694888e-92,1.42244514340377e-88,198.593768906237
"UGT1A8",-2.50855564090534,3.85388372070256,-23.9624326325975,5.96843695615295e-89,1.15934174947382e-85,191.854564991723
"PYY",-5.65284943480529,4.30800891449744,-23.9524159543396,6.7387699479528e-89,1.19989414564923e-85,191.734224610911
"SLC25A34",-1.92356854243974,5.09503201682393,-23.3518362774105,9.74894306236938e-86,1.60235128010497e-82,184.519793132278
"ABCG2",-5.44371160799842,4.59753806811112,-22.4803269627437,3.71363877471745e-81,5.66780854995627e-78,174.06129733488
"CDC14A",-1.79724421891854,2.92225308006837,-22.3125169332329,2.82258117423327e-80,4.02067279665615e-77,172.050062841816
"LINC02023",-2.56848934069286,3.43111699383932,-21.7953451041331,1.45170616543866e-77,1.93866285230799e-74,165.859196027163
"AQP8",-6.8231011131247,5.14407291639829,-21.6808589767972,5.77099489048425e-77,7.25346163676336e-74,164.490520888389
"TEX11",-2.47970209125182,4.75356919099487,-21.1264935218681,4.55507809190414e-74,5.40713075498421e-71,157.874343159836
"TMEM37",-2.47540257543909,6.70089298141369,-21.0615553175712,9.93736676314932e-74,1.11753534541164e-70,157.100684928385
"CNNM2",-2.91287171994607,3.84600937673504,-20.6944568703278,8.12193280777256e-72,8.67706691518382e-69,152.733290097173
"SLC17A4",-1.15855948934025,2.75668783062393,-20.486663514343,9.77088143280237e-71,9.94163921784229e-68,150.266162545974
"MXD1",-3.21177293004323,5.72249609118804,-20.3108559095879,7.990158059794e-70,7.76025942107357e-67,148.181888967343
"P2RY1",-1.38346198159716,3.20405259965128,-19.9491465857606,5.9693672168053e-68,5.54554214441213e-65,143.903347045574
"NWD2",-1.1234167664629,2.93260642681538,-19.85209551417,1.89466951682354e-67,1.62568975779658e-64,142.757731301259
"HHLA2",-1.00963687724949,2.99178595677094,-19.8517663164813,1.90210342794564e-67,1.62568975779658e-64,142.753847155217
"PHLPP2",-2.55704028906463,6.60815648882222,-19.3399217030749,8.25352192003871e-65,6.78280780251797e-62,136.730210544979
"GCNT2",-1.10452749904054,3.35165348892649,-18.978645288879,5.87903080093663e-63,4.65249078235604e-60,132.498822604892
"SPIB",-2.33650680480129,4.6801567663641,-18.7709544549315,6.77183259308159e-62,5.16763382201337e-59,130.074643302916
"NHERF4",-1.49705640650772,5.16958234247692,-18.5940591123974,5.401129162133e-61,3.97951471749296e-58,128.015038455272
"LDHD",-2.5602722968661,4.6024323130564,-18.5176912682693,1.32169604791663e-60,9.39575024800238e-58,127.127396075767
"CCL23",-1.69540405417538,3.17644403068718,-18.515053243511,1.36316870729664e-60,9.39575024800238e-58,127.096750311011
"BMP3",-1.2874590577559,4.16616453760171,-18.1923374640051,5.91869951489923e-59,3.95202664171412e-56,123.35644133001
"SLC51B",-4.15972359059336,5.57013387490769,-18.1762024116754,7.14338908551921e-59,4.62523619970573e-56,123.169897461362
"C2orf88",-3.72345090005096,5.55217053907351,-17.6201892550007,4.5285265048959e-56,2.84591252441502e-53,116.770432862158
"PRDX6",-1.59852306544476,10.5419679840222,-17.5875679928339,6.60025737620855e-56,4.02936283878423e-53,116.39679525146
"WSCD1",-2.38721872909336,4.54266313544444,-17.5584658581767,9.23502597234575e-56,5.48124444308644e-53,116.063642780277
"ZNF575",-1.68243887073219,6.33766296691282,-17.4478662004345,3.30488199672098e-55,1.85830035852466e-52,114.79907857358
"MEP1B",-2.56998729934006,3.84625387126154,-17.4436173010384,3.47061638440068e-55,1.90145282783306e-52,114.75054725849
"PLCD1",-1.57647687508732,7.21548376984444,-17.346874855734,1.05638609168773e-54,5.64295040527295e-52,113.646549058005
"CWH43",-3.70484509182562,4.56317902672308,-17.0968243269644,1.85927650854925e-53,9.68955150199312e-51,110.802157568308
"PDE6A",-1.73673235898438,4.38004005222734,-16.9783454023414,7.20174081525641e-53,3.663799904752e-50,109.459164017269
"SCNN1B",-3.53788320639483,4.79148812764957,-16.8890671493905,1.99382252692237e-52,9.90744324017447e-50,108.449242022723
"MMP28",-3.12805577612535,3.89990923806325,-16.8393528132248,3.51245086230899e-52,1.70569403579446e-49,107.887655311643
"GCG",-5.45992775744356,3.98133930328718,-16.7412151556394,1.07236803308598e-51,5.09184172509957e-49,106.780740188367
"APPL2",-2.1817079762215,7.3881075944718,-16.717909390845,1.39738183608662e-51,6.49083862862236e-49,106.518199854247
"PRKG2",-1.0192723524801,3.93481580396752,-16.7113694879232,1.50510762055177e-51,6.84247543155951e-49,106.444550557937
"ADTRP",-3.09008136047323,4.83626677315213,-16.5208183162232,1.30422386533153e-50,5.80569819386224e-48,104.303133149007
"CA4",-4.76670471862647,6.10906442616923,-16.4715103001051,2.27717325657991e-50,9.9298695863965e-48,103.750441502931
"CD177",-4.80079930593798,6.03396787884957,-16.4412082140608,3.20637568188623e-50,1.37021258389726e-47,103.411083751386
"GUCA1B",-5.50171590663735,6.90942956861196,-16.1516068265152,8.3428544761227e-49,3.42811099214065e-46,100.179466716308
"UGP2",-1.88970425227868,9.86257616394018,-16.0571201629865,2.40459843825339e-48,9.51463978336299e-46,99.1297935761139
"DNAI4",-1.59615641240673,3.17929215803761,-16.0148336014367,3.85883971924695e-48,1.49912415056636e-45,98.6607893067866
"HIGD1A",-1.78314824169649,10.8013036836479,-15.8561847271698,2.26598275975603e-47,8.49425502240474e-45,96.905498127405
"SST",-3.27343007050856,4.45973699148547,-15.8446390963812,2.57685210411751e-47,9.4930342945998e-45,96.7780255347905
"SLC25A20",-1.78004434697926,7.14274131984615,-15.8379796078553,2.77515027015147e-47,1.00502772580215e-44,96.7045164109939
"TMCC3",-2.7941514171047,6.5281168145453,-15.8285236112909,3.08315122334009e-47,1.09796153648513e-44,96.6001597741199
"SMIM6",-1.94318767034294,5.95443864331282,-15.8176278155377,3.4805633079984e-47,1.21916715085249e-44,96.4799441559273
"SLC22A18AS",-1.94575020361661,6.90717315014188,-15.7588375127144,6.69130796881559e-47,2.30601898983359e-44,95.8318677601762
"GPT",-1.18536293711475,5.61508055433676,-15.7337250099623,8.84373855500094e-47,2.99943113816992e-44,95.5553339106115
"RDH5",-1.70116918770829,6.22207601964958,-15.6571847744251,2.06697867451795e-46,6.79463589821923e-44,94.7135855420575
"INSL5",-3.39013853487633,3.99018688264958,-15.6181135105013,3.18615501597197e-46,1.03149354888292e-43,94.2845429951604
"TMEM171",-2.39073753697916,5.82706248878462,-15.5184472274937,9.58947069378274e-46,3.0581823927471e-43,93.1920949692678
"PAQR5",-1.82874486995852,4.47047508993846,-15.4658563543048,1.71314655416762e-45,5.38305917983816e-43,92.6168081141512
"CLDN8",-5.19673397094021,3.83239793400171,-15.455996277568,1.90986171915151e-45,5.91420512363919e-43,92.5090400064346
"CLEC3B",-2.79645791181068,5.63552930573847,-15.4091272194317,3.20057728496293e-45,9.76953354968614e-43,91.9971659020681
"NMRAL2P",-2.06908407725795,3.8431288150547,-15.2340384920876,2.18953958630641e-44,6.49776282508458e-42,90.0907713777953
"GDPD2",-1.51759336567696,5.4499917427094,-15.1026260723863,9.21495724530887e-44,2.66075664135831e-41,88.666074513284
"KRT24",-1.42366416904082,3.91402405575213,-15.0596905296405,1.47201104823943e-43,4.16352937610329e-41,88.2017558286403
"SLC22A5",-2.0700421276061,6.71596017560855,-15.0591370512611,1.48092026294683e-43,4.16352937610329e-41,88.1957741128047
"CIDEC",-1.79982423020913,6.21209969264786,-15.0416275396332,1.79231379737867e-43,4.973554403713e-41,88.0065899024155
"NAP1L2",-1.36372494097368,2.91660591465983,-14.9621151375249,4.25855884235938e-43,1.16657213826529e-40,87.1487065099619
"EDN3",-3.73093855700949,5.84926376734188,-14.9367297874564,5.61143027322003e-43,1.51771431199864e-40,86.8752403467289
"CHP1",-2.91052508138367,6.63397671726496,-14.8840272619433,9.94321883495482e-43,2.655709460581e-40,86.3081581215059
"B4GALNT2",-1.64337728066785,3.9469289540547,-14.83579393193,1.67714604215462e-42,4.42414561515034e-40,85.7899517242488
"ACADS",-1.74513686055746,6.91035750552992,-14.8205009087342,1.97920057767815e-42,5.15726570039623e-40,85.6258054587996
"TTLL6",-1.82787682993387,5.13510132194701,-14.7847897165487,2.91273501149893e-42,7.32193046949383e-40,85.2428004324544
"GLTP",-1.8644145774071,6.61452450833505,-14.7725441187817,3.32508556331828e-42,8.26129107342113e-40,85.1115618720426
"MCOLN2",-2.71645047028733,4.89441406802564,-14.7609982127237,3.76703421528198e-42,9.25174943424483e-40,84.9878672484111
"FCRL2",-1.23393465361419,4.0141794023453,-14.7318001901588,5.16381657100344e-42,1.2397221199172e-39,84.6752566910654
"B3GNT5",-2.24620265717156,6.01665981987693,-14.6972574953136,7.4964686432496e-42,1.7488875784844e-39,84.3057877493916
"ENTPD5",-1.41567020163427,4.60865647755556,-14.6968413065176,7.53019409465834e-42,1.7488875784844e-39,84.3013386086776
"BEST2",-3.45146976333393,4.92014878962051,-14.6748541227487,9.54463512666913e-42,2.19290557797354e-39,84.0663733610204
"NAAA",-2.27408552090116,7.02428521969402,-14.5799589877714,2.65028959140851e-41,5.8380141958377e-39,83.0541398694368
"SULT1A2",-2.00050545114069,7.79249668302051,-14.5786731606142,2.68716406148666e-41,5.85884025528424e-39,83.0404449908947
"RETSAT",-2.36070228607187,7.05097881544787,-14.5408495223379,4.03371645438682e-41,8.70590095766496e-39,82.6378504239625
"TRIM40",-1.50135514922699,3.46441140351624,-14.5313903608038,4.46468053364404e-41,9.53968289623722e-39,82.5372433317554
"MINDY1",-1.29278316335447,6.78494726072479,-14.4967865201848,6.47069631172302e-41,1.36890463458006e-38,82.1694596285652
"ENDOD1",-1.99051316656407,5.89341341370085,-14.4574538985956,9.8609565641224e-41,2.0416172796121e-38,81.7519159166078
"PEX26",-1.57346969099693,6.58545192549743,-14.4227342664299,1.42967170756432e-40,2.90931384528827e-38,81.3837863169422
"TEP1",-1.55649619792672,4.78444229240855,-14.3806539103818,2.24135627049145e-40,4.43435735477693e-38,80.9381728412645
"IL6R",-2.44256519901953,4.26058708212136,-14.3397799907232,3.46681631721349e-40,6.79591415136704e-38,80.5059274297268
"P2RX4",-1.68388910378417,7.90820766034188,-14.3346838483832,3.66041099675208e-40,7.11018197887288e-38,80.4520763733397
"GNA11",-1.86168675811075,8.57394863847522,-14.2011518911021,1.51519127915946e-39,2.79095621222415e-37,79.0443187537798
