"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FOXQ1",5.19755173596155,9.42687347165642,16.2168502704777,4.01123988601238e-49,1.68055220871425e-46,100.905635078441
"GTF2IRD1",2.21069160656649,8.75429053351113,15.9003079848561,1.38591618504065e-47,5.2880127010292e-45,97.3929902050203
"DUSP14",2.06521448799897,6.73255408075897,15.3157363075253,8.93665726234541e-45,2.68943036231739e-42,90.979160303953
"S100A11",1.6849555828753,11.1881224268615,15.1354256817016,6.4406402092914e-44,1.88516656646479e-41,89.02116810328
"BYSL",1.65766608039018,7.56609755220341,14.8058385628978,2.31959302641044e-42,5.90032668991809e-40,85.4685002405441
"COL4A1",2.61715564443668,10.2530408269111,14.7207830531363,5.8159643577124e-42,1.38077456034712e-39,84.5573742841809
"PPRC1",1.59520541946839,7.32101433244787,14.6389550335188,1.40508805415645e-41,3.19388472905967e-39,83.6830864515418
"TGFBI",2.79035191498242,11.5668019439128,14.6265843666889,1.60521433993531e-41,3.61038050541029e-39,83.5511076742283
"CTPS1",1.96405375542477,7.06765100143931,14.5909867935753,2.35405984457243e-41,5.23949965614366e-39,83.1716160360958
"PDCD2L",1.78584471493138,7.42846845356068,14.4654189572262,9.05494242511738e-41,1.8968328901714e-38,81.8364276223322
"SLCO4A1",2.88187760421024,8.1429571466547,14.4567343460055,9.93720209105903e-41,2.0416172796121e-38,81.744282322668
"AJUBA",2.86942762653359,6.40550411722734,14.3859058606516,2.11911103462598e-40,4.27160806385409e-38,80.9937550954948
"CDK4",1.70958892957049,9.9304311785111,14.3839568709498,2.16368038119861e-40,4.32068772944586e-38,80.9731274923482
"RHBDF2",1.75163164000754,6.79593380804958,14.2539055234428,8.65098131332305e-40,1.66527493443039e-37,79.5997149565335
"CDH3",2.82365794717669,8.20256501546495,14.25247407177,8.78366322524656e-40,1.67571903690932e-37,79.5846313545001
"SLC7A5",2.95918289989968,8.1437358921094,14.2481008715499,9.2017139270607e-40,1.73993824318147e-37,79.5385542566096
"NOB1",1.51035011737252,9.17844159220684,14.2448231763198,9.52799241129756e-40,1.78582994607189e-37,79.5040241340339
"SNRPD2",1.13229065663027,11.6449598782188,14.2236416495778,1.19331108600055e-39,2.21717199778902e-37,79.2809717745895
"IFITM3",1.7826900434761,12.2150024480991,14.0760953590939,5.69822615405054e-39,1.00623139036031e-36,77.7317144187356
"IARS1",1.40854289496541,10.3326510940547,14.0330676915995,8.97639687740225e-39,1.57212026294634e-36,77.2814090244905
"NOP2",1.52969153675442,8.1866059015265,13.9231852392951,2.85613517783177e-38,4.730778321297e-36,76.1345367300619
"CBFB",1.5607250079669,9.08162272434871,13.7264778611758,2.24264805120968e-37,3.4473856769926e-35,74.0927688323955
"UTP25",1.28093291021443,7.0959413978359,13.6766290557784,3.7718160551954e-37,5.75659954652572e-35,73.5776984093121
"NAT10",1.35026896851581,8.28933302867692,13.6444894065933,5.27116245928745e-37,7.98786725302091e-35,73.2461202670756
"MRPL17",1.33045348322531,8.8756659641453,13.6331893705426,5.92885940688534e-37,8.92126330612106e-35,73.1296354891133
"CCDC86",1.65612928327803,7.67779535579146,13.5284220325152,1.75948837218868e-36,2.61076305892747e-34,72.0520355489099
"SND1",1.0782127100106,9.28053314566837,13.4520555547881,3.87755469028864e-36,5.4895015960815e-34,71.2692873345567
"NOL6",1.22368560588163,6.71883167281881,13.439051926663,4.43499355596935e-36,6.23437548094718e-34,71.1362330095101
"ACD",1.77982525299628,7.90261630520172,13.3496485837547,1.11472576116939e-35,1.49800914081172e-33,70.2232883730204
"TIMP1",2.30635724699898,11.4256674857145,13.3454662143012,1.16374859370872e-35,1.54446063365057e-33,70.1806589837955
"UTP4",1.46053712965446,8.90918627410429,13.3291157373583,1.37689409279163e-35,1.80491386998029e-33,70.0140725381794
"RUVBL1",1.600421501532,8.49360160229914,13.2687912412405,2.55845395929932e-35,3.29316179206919e-33,69.400399432002
"NFE2L3",2.38306745320532,8.1234056842735,13.203211372594,5.00917347726562e-35,6.24259532243347e-33,68.7349558451924
"C19orf53",1.02959340122633,9.63110455107179,13.2028999048427,5.02516214470238e-35,6.24259532243347e-33,68.731799588798
"TMEM41A",1.29439504344589,7.41374192338974,13.1114401843066,1.27879141167801e-34,1.50131516996286e-32,67.8067349665307
"SRM",1.5886953381657,8.12749582810428,13.1091703110037,1.30872411639454e-34,1.52806055710394e-32,67.7838207890744
"IFITM2",1.71822450693202,11.0668691752872,13.0938911716084,1.52919325329314e-34,1.74728728572805e-32,67.6296353328469
"CCT3",1.17102734942385,10.3041389949932,12.9865617757548,4.55226843875653e-34,5.06605831931827e-32,66.5493199647445
"TRAP1",1.47881416243351,9.35416657158975,12.9730113115306,5.2226581243196e-34,5.78199669131279e-32,66.4132758967497
"NME1",1.79979086510824,10.5120184653778,12.9687402369166,5.45369029288036e-34,6.00664950968942e-32,66.3704113411344
"CEBPB",1.55385035520904,10.9344918471744,12.9513384492977,6.50502033174015e-34,7.12783432965599e-32,66.1958472672199
"RTKN",1.59648197611764,7.64014516565129,12.9269013799516,8.33036190123837e-34,8.98963852241214e-32,65.950928158603
"HOMER1",2.61050796316458,6.8238069892359,12.9002769860002,1.09035491484124e-33,1.16488067327064e-31,65.6843782615291
"CALU",1.42508598147954,8.88780613674187,12.8943404241825,1.15775476634658e-33,1.2243594831839e-31,65.624985980352
"RPL7L1",1.05865138346439,10.3071184164684,12.8782306501223,1.36229356587807e-33,1.42686895206455e-31,65.4638924050907
"CMSS1",1.79821874648922,8.06614552617947,12.859768028861,1.64128692336397e-33,1.68602777363067e-31,65.2794087312581
"CCT4",1.08457681116264,11.2491910517812,12.8226641220585,2.38562726475417e-33,2.43893290746423e-31,64.9091025051619
"NME2",1.07729871497964,11.4413234933145,12.8172410981144,2.51953072481289e-33,2.53937797156024e-31,64.8550294416185
"TEAD4",1.30047882493565,7.48945688602906,12.767825946146,4.14168725741881e-33,4.04088728900766e-31,64.3629007506948
"TRMT112",1.25332300106164,10.4116930404068,12.7240691437699,6.4258858748256e-33,6.10230682166216e-31,63.9280163259821
"AARS1",1.15363758815558,8.91127015417948,12.6620305120447,1.19608976772325e-32,1.10635714575509e-30,63.3128811691276
"IPO4",1.70611620104762,7.34282395772479,12.598569341352,2.25434007326126e-32,2.03242549980478e-30,62.6854089164573
"GRINA",1.68539635259894,7.59266494488205,12.591680519748,2.41463933027354e-32,2.16779825924179e-30,62.6174038873143
"MRGBP",1.69494273876279,6.0092674461624,12.5545661012073,3.49480258380683e-32,3.04789578808982e-30,62.2513842400808
"ZFAS1",1.76301304805915,11.0892069355846,12.548134191123,3.72582348190851e-32,3.23616546089183e-30,62.1880161667524
"SMYD5",1.11327818016822,6.52093818836068,12.5169141688135,5.08212547731416e-32,4.37861996265208e-30,61.880697187408
"TPX2",2.32302953559048,9.18341738711966,12.4359443443042,1.13455299929758e-31,9.43268246536632e-30,61.0857169431652
"XPO5",1.34895293266813,6.51889577092649,12.4031005501756,1.57011999589563e-31,1.28539287173571e-29,60.7641012924682
"POLR3E",1.17530737728017,8.2562456098188,12.395456077723,1.69334525558441e-31,1.38098122427756e-29,60.6893153977998
"SF3B3",1.30767866310462,8.76806252945812,12.3890454943033,1.80406839784762e-31,1.46568553067719e-29,60.6266213303723
"NCDN",1.05762541162274,5.49634124694701,12.3530621826405,2.57338202406949e-31,2.06712231986063e-29,60.275063604077
"BOD1",1.06162993940218,8.46337014992992,12.3325244723923,3.1508575351625e-31,2.50276479382219e-29,60.0746775230459
"ABCC1",1.49916344784303,8.37556884898462,12.301204343102,4.28896089081421e-31,3.38163200568366e-29,59.7694636281298
"NHP2",1.16692329276474,10.8276453462188,12.2873885301839,4.91321110053227e-31,3.85958020533357e-29,59.634973647664
"B3GALT6",1.42293307289603,7.86633922836923,12.2816979990736,5.19590288687164e-31,4.05185609429877e-29,59.5796050189982
"CBX4",1.42099076375154,5.45436695882222,12.2690217254811,5.88516617982161e-31,4.5560994842119e-29,59.4563196504435
"CD81",1.27909275445909,10.5056901641915,12.256689065539,6.64291988868539e-31,5.08742900578999e-29,59.3364481040198
"C1orf198",1.21150158780649,8.74668174635727,12.2445756035249,7.48160166641569e-31,5.68894600734178e-29,59.2187763107272
"DKC1",1.58781924943222,9.4788848787453,12.1596102559818,1.71924928443118e-30,1.27997210663558e-28,58.395347297926
"FTSJ1",1.30572002569211,8.58721654654188,12.1192321651978,2.55003338277745e-30,1.87239049105862e-28,58.0052235514349
"AMPD2",1.05866186005784,7.07549206027009,12.0774355226701,3.83191657646127e-30,2.79442189383099e-28,57.6022102815518
"PWP1",1.0511914600756,9.2624762609265,12.0722225032297,4.03135198328163e-30,2.92986047029859e-28,57.5520035393862
"RFC3",2.14079695501637,8.50663665081881,12.0625628039059,4.4285960219759e-30,3.207654617002e-28,57.4590050350625
"SNRPE",1.19682555966682,10.6935446632786,12.0567619267555,4.6856236252934e-30,3.38235540546095e-28,57.4031786969628
"RNASEH2A",1.85474606885708,8.4859404284718,12.0448865278888,5.25901264095878e-30,3.78347889223456e-28,57.2889428017692
"GNPDA1",1.29141143355532,8.53612022780513,12.0252734838024,6.36274948929268e-30,4.51707762453451e-28,57.1004224428593
"GTF3A",1.8351596334853,11.2255701206308,12.0252650233211,6.36327217197027e-30,4.51707762453451e-28,57.1003411606789
"E2F6",1.20729780085493,6.9891887497624,12.0134949735286,7.13339038048674e-30,5.0303350580812e-28,56.9872963799234
"RSL1D1",1.3052971781844,9.50491998670086,11.9931784471064,8.6870177058174e-30,6.02647751039612e-28,56.7923244140364
"PRDX4",1.42950724952622,10.7397634501539,11.9914140188623,8.83687196882173e-30,6.11059687242116e-28,56.7754010886446
"ACBD6",1.1455815722401,7.5003948408547,11.9665247036577,1.12462593938111e-29,7.75157498282458e-28,56.5368381369457
"CMTM8",1.39369471527785,7.38791276014872,11.9131795393875,1.8836315472122e-29,1.27770016727883e-27,56.0265386365537
"CHPF",1.30473936123015,7.25561681135214,11.9076171126613,1.98754688865221e-29,1.33546900534062e-27,55.9734081795179
"PA2G4",1.23510322202325,9.20627144419144,11.9028254901195,2.08162201704691e-29,1.39429522376932e-27,55.9276522841635
"PUS7",1.82799404673377,8.39786274549574,11.8374098191946,3.90943065566717e-29,2.57817298826051e-27,55.3041116848621
"ATIC",1.14099098545007,9.6703856902564,11.8284487018809,4.26126093827084e-29,2.80154961440102e-27,55.2188580319184
"MORC2",1.10558584281002,8.26340338991622,11.8255743071878,4.38065402900889e-29,2.87120965146727e-27,55.1915201874278
"COL12A1",3.08619884977655,9.70387558621026,11.7745834624379,7.14723447896181e-29,4.64179207027286e-27,54.7072331027347
"DNMT1",1.5130995607812,8.71407566303248,11.765560593331,7.79291499820866e-29,5.04579438687044e-27,54.6216720442791
"HILPDA",2.44125219732956,8.4931733180564,11.7614403884542,8.10674358401182e-29,5.20170541019761e-27,54.5826148502334
"ATP6V1F",1.00171929900084,10.1497506474103,11.7302627513249,1.09263848755865e-28,6.98994208492981e-27,54.287341945852
"METTL1",1.07421808077106,6.79202150262906,11.701668352828,1.43609366396439e-28,9.15970546803793e-27,54.0169595892278
"PPIL1",1.5246606680093,8.12629439283419,11.6879765111634,1.63666798422679e-28,1.02553327914879e-26,53.8876371179244
"FBL",1.21830092854008,10.5328030938547,11.6721215028739,1.90396178719476e-28,1.18606272615132e-26,53.7380003097313
"MIF",1.30623999958351,12.0207449770239,11.6687352599482,1.96644865582656e-28,1.22142757061181e-26,53.7060578670546
"RRS1",1.35712544515157,8.61912116653846,11.645538490216,2.45294136814116e-28,1.51043222516058e-26,53.4873974410313
"GEMIN5",1.24820255639836,7.68256921267864,11.6034393184455,3.66121570596153e-28,2.19129400530196e-26,53.0912486255219
"FAM89A",1.58368572040999,6.58910837619829,11.5894519090488,4.18148783558638e-28,2.4887423560717e-26,52.95982663631
"LRRC8E",1.57771485137214,5.28983368171624,11.5773018521348,4.6926881577423e-28,2.76985270349391e-26,52.845748318653
"DARS1",1.16136199538934,9.48612458980854,11.5468598690976,6.26300573306751e-28,3.6663463972179e-26,52.5602539092948
"TOMM5",1.21680786391418,9.89192922461026,11.5427110184675,6.51406692355557e-28,3.8028980315741e-26,52.5213811714124
"AHCY",1.66114510718449,9.96194654285983,11.5375970538536,6.83733962172593e-28,3.98074756668714e-26,52.473477837691
"UBE2C",2.18594846798819,9.71318729965811,11.5233257359548,7.82632886109729e-28,4.51959915608286e-26,52.3398665851785
"SNHG15",1.25064032343974,7.45056707948547,11.5160649870391,8.38283000800615e-28,4.80203562415731e-26,52.271929714715
"NUP62",1.04337358111586,8.20035665293162,11.4998699221539,9.76990391020041e-28,5.55195576726734e-26,52.120493888858
"ETV4",2.12241323269705,7.28624825897607,11.4635169703832,1.37705435586999e-27,7.72270877214545e-26,51.781055998086
"TWNK",1.34846489072113,6.65074491291453,11.4608410072109,1.41225138129411e-27,7.89936525238512e-26,51.7560965619176
"ANAPC1",1.12889018135373,8.11013469909744,11.4439128469107,1.65658669599167e-27,9.24185063531437e-26,51.5982883365921
"PAICS",1.48199211612061,10.0684693491607,11.4164921421368,2.14455376368055e-27,1.18404858575097e-25,51.3429794307622
"CDC25B",2.01713790210396,9.02141369073335,11.4139131707469,2.19722086689673e-27,1.21000047069542e-25,51.3189870893817
"NIT2",1.2168120202798,8.75385546471965,11.4014638987669,2.47010994307475e-27,1.35678249752386e-25,51.2032190464616
"PAFAH1B3",1.46768812863771,8.07145573105128,11.34085069631,4.36280088016558e-27,2.35403955571965e-25,50.6407138284214
"PUS1",1.22983540034797,7.26471784510769,11.335168715273,4.60131579904067e-27,2.47648147803783e-25,50.5880816052687
"LAMC1",1.24565718274642,8.29690151928204,11.3071866422209,5.97886757562723e-27,3.18579709447449e-25,50.3291292982737
"FAM83D",1.9380192940332,8.17307131159317,11.2815474080878,7.59763383228842e-27,3.98866442492645e-25,50.0922176849218
"AIRIM",1.13649160303952,6.22135625379145,11.2744511925786,8.11807148178477e-27,4.2514419939043e-25,50.0267081357593
"CKAP5",1.20648218962767,8.22443591031452,11.2729473260717,8.23283579457245e-27,4.30100250422077e-25,50.0128284095432
"PODXL",1.7368424541365,8.12497773771112,11.272162681811,8.29335298077344e-27,4.32205056439478e-25,50.0055871162206
"TRIP13",2.04597154767277,7.85998313566154,11.2446907625859,1.071531005035e-26,5.54368111006849e-25,49.7522594179638
"SLC39A10",1.95342558840933,7.72970612807009,11.2178680444078,1.37557647199054e-26,7.0147834074038e-25,49.5053018147236
"NPRL3",1.05074290818756,5.90609082423248,11.2170126671557,1.38656898338281e-26,7.05400463522395e-25,49.4974325786756
"SNHG6",1.36478069098559,11.1731569207197,11.2107263247444,1.47007902813172e-26,7.44340724978447e-25,49.4396118182747
"DCUN1D5",1.50467500379458,9.01772457303076,11.2071181212348,1.52025040797579e-26,7.67924124520537e-25,49.4064335853587
"PATZ1",1.40185147875935,6.99884998373847,11.2066107041953,1.52744111577268e-26,7.69736658507426e-25,49.4017683252996
"MRM2",1.0361920647001,7.97443470376923,11.1726550502649,2.09397129960254e-26,1.04293437665751e-24,49.08988546484
"SOX9",2.08439893774726,10.3935569464461,11.1302348598142,3.10284441118257e-26,1.52761466667599e-24,48.7011164246562
"SLC29A1",1.80797104608435,6.93383988763078,11.0958299247461,4.26555520066598e-26,2.06671469325692e-24,48.3865099675457
"CSE1L",1.95629363551144,7.91895721987179,11.092994372162,4.37879620777183e-26,2.10251097913395e-24,48.3606092882617
"BOP1",2.00165213233169,7.34473538205983,11.0926895925685,4.39114434760739e-26,2.10371258464859e-24,48.3578256081181
"DDX56",1.11276885808489,7.90550127757264,11.0765392197564,5.09745278249532e-26,2.42577446778569e-24,48.2103887132245
"MET",1.99758709339195,10.0245176335521,11.056949039421,6.10722846296719e-26,2.88064350040221e-24,48.0317377493191
"POLR1B",1.01700909066273,5.58974507270598,11.0536315906407,6.29690628298614e-26,2.95705486919923e-24,48.0015049915606
"CDCA4",1.33008727207412,7.62804060413676,11.0399359391488,7.1439373272066e-26,3.33284953865554e-24,47.8767557503193
"RBM28",1.27759133417844,7.60541427677777,11.0321560214937,7.67456446903284e-26,3.57260172134694e-24,47.8059360277836
"HJURP",1.61035136439512,7.08730931542735,11.0255464165138,8.15601649720937e-26,3.7802517244224e-24,47.7457951855014
"ITGB1BP1",1.13812919033857,8.04130908481026,11.0220143801673,8.42547837633685e-26,3.89669256422488e-24,47.7136668304852
"CENPN",1.93552777133663,7.65742865783076,10.9822851261992,1.21389308206202e-25,5.57790397514392e-24,47.3527435942396
"MCM3",1.27461528455663,9.01428376044102,10.980124556008,1.23820960160212e-25,5.67743016253916e-24,47.3331402555609
"PNO1",1.41915822575443,8.32788633531112,10.9637073921842,1.43949542475378e-25,6.55814472083456e-24,47.1842664304365
"CCNF",1.25352724940971,7.08163134304787,10.9587741428018,1.50610447157934e-25,6.832470115549e-24,47.139559444031
"PHLDA1",2.68744492778249,8.68869900814016,10.956922023445,1.53189499399185e-25,6.9347458340305e-24,47.1227782496463
"ZYX",1.59537836784936,8.14934947985983,10.9387861504329,1.8088038759127e-25,8.17097514093589e-24,46.9585561757414
"UBE2T",1.64191525888516,8.51936587363076,10.9246712344204,2.05826493605462e-25,9.25872566077452e-24,46.8308683024539
