"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140014","BP","GO:0140014","mitotic nuclear division","69/1647","274/18870",3.42600774183041e-16,1.1605636224111e-12,9.29915791007578e-13,"TPX2/BOD1/RRS1/UBE2C/NUP62/TRIP13/CDCA5/NCAPG2/KIF2C/UBE2S/MAD2L2/KIF4A/NUSAP1/ANLN/NCAPD3/NUF2/PRC1/CDK1/TUBG1/BUB1/KIF23/CCNB1/MZT1/NCAPD2/AURKA/PDGFRB/KIF18B/SPC25/NCAPG/RGCC/BUB1B/KNSTRN/KIF14/NCAPH/NEK2/AURKB/PLK1/MYBL2/PSRC1/CHEK1/RACGAP1/MAD2L1/FBXO5/DLGAP5/TTK/CDC20/KNTC1/CDCA8/CDC25C/KIF18A/NDC80/CDT1/ZWILCH/KIF11/CENPE/CDCA2/BMP4/BMP7/FLNA/OBSL1/IGF2/CDC14A/EDN3/CHMP1B/KAT2B/VPS4B/DUSP1/IGF1/HOXA13",69
"GO:0007059","BP","GO:0007059","chromosome segregation","91/1647","424/18870",3.95354666125397e-16,1.1605636224111e-12,9.29915791007578e-13,"TPX2/BOD1/RRS1/UBE2C/NUP62/ANAPC1/FAM83D/TRIP13/HJURP/CENPN/CDCA5/NCAPG2/MAP1S/KIF2C/CSNK2A2/TOP2A/NTMT1/EHMT2/MAD2L2/KIF4A/NUSAP1/NCAPD3/NUF2/PTTG1/PRC1/CDK1/CENPW/TUBG1/BUB1/CCNB1IP1/KIF23/CCNB1/MZT1/NCAPD2/AURKA/KIF18B/SPC25/NCAPG/BUB1B/KNSTRN/NUP37/KIF14/NCAPH/NEK2/AURKB/ECT2/PLK1/ASPM/MYBL2/MND1/SKA3/PSRC1/FIRRM/MSH5/MRE11/HECW2/BRCA1/RACGAP1/CCNE1/MAD2L1/CCNB2/P3H4/FBXO5/DLGAP5/TTK/CDC20/KNTC1/CENPL/CDCA8/KIF18A/NDC80/CDT1/ZWILCH/CENPU/KIF11/GPSM2/CDC6/STIL/SGO2/CENPE/CDCA2/GEM/FLNA/TEX11/CHMP1B/RIOK3/KAT2B/VPS4B/NR3C1/DUSP1/BEX4",91
"GO:0000280","BP","GO:0000280","nuclear division","92/1647","441/18870",1.74283107319424e-15,3.41072041024113e-12,2.73288142670353e-12,"TPX2/BOD1/RRS1/UBE2C/NUP62/CDC25B/TRIP13/CDCA5/NCAPG2/KIF2C/UBE2S/TOP2A/RAD54B/CKS2/EHMT2/MAD2L2/KIF4A/NUSAP1/ANLN/NCAPD3/NUF2/PTTG1/PRC1/CDK1/TUBG1/BUB1/CCNB1IP1/KIF23/CCNB1/MZT1/NCAPD2/AURKA/PDGFRB/KIF18B/SPC25/NCAPG/RGCC/BUB1B/KNSTRN/KIF14/NCAPH/NEK2/AURKB/PLK1/ASPM/MYBL2/MND1/PSRC1/BRCA2/CHEK1/WNT5A/MSX1/MSH5/MRE11/RACGAP1/CCNE1/MAD2L1/CCNB2/P3H4/FBXO5/DLGAP5/TTK/CDC20/KNTC1/RAD51AP1/CDCA8/CDC25C/KIF18A/NDC80/CDT1/ZWILCH/CALR/KIF11/LIF/CENPE/CDCA2/MSX2/BMP4/BMP7/FLNA/OBSL1/IGF2/CDC14A/TEX11/EDN3/CHMP1B/KAT2B/VPS4B/DUSP1/IGF1/HSPA2/HOXA13",92
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","53/1647","184/18870",2.39179415808984e-15,3.51055587553637e-12,2.81287581381671e-12,"TPX2/BOD1/RRS1/UBE2C/NUP62/TRIP13/CDCA5/NCAPG2/KIF2C/MAD2L2/KIF4A/NUSAP1/NCAPD3/NUF2/PRC1/CDK1/TUBG1/BUB1/KIF23/CCNB1/MZT1/NCAPD2/KIF18B/SPC25/NCAPG/BUB1B/KNSTRN/KIF14/NCAPH/NEK2/AURKB/PLK1/MYBL2/PSRC1/RACGAP1/MAD2L1/FBXO5/DLGAP5/TTK/CDC20/KNTC1/CDCA8/KIF18A/NDC80/CDT1/ZWILCH/KIF11/CENPE/FLNA/CHMP1B/KAT2B/VPS4B/DUSP1",53
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","73/1647","312/18870",3.18394825194464e-15,3.7385920374334e-12,2.99559257640855e-12,"TPX2/BOD1/RRS1/UBE2C/NUP62/ANAPC1/FAM83D/TRIP13/CDCA5/NCAPG2/MAP1S/KIF2C/TOP2A/EHMT2/MAD2L2/KIF4A/NUSAP1/NCAPD3/NUF2/PTTG1/PRC1/CDK1/TUBG1/BUB1/CCNB1IP1/KIF23/CCNB1/MZT1/NCAPD2/AURKA/KIF18B/SPC25/NCAPG/BUB1B/KNSTRN/KIF14/NCAPH/NEK2/AURKB/ECT2/PLK1/ASPM/MYBL2/MND1/PSRC1/MSH5/MRE11/HECW2/RACGAP1/CCNE1/MAD2L1/CCNB2/P3H4/FBXO5/DLGAP5/TTK/CDC20/KNTC1/CDCA8/KIF18A/NDC80/CDT1/ZWILCH/KIF11/CDC6/CENPE/GEM/FLNA/TEX11/CHMP1B/KAT2B/VPS4B/DUSP1",73
"GO:0048285","BP","GO:0048285","organelle fission","97/1647","488/18870",7.46856231737953e-15,7.30798822755587e-12,5.8556149116437e-12,"TPX2/BOD1/RRS1/UBE2C/NUP62/CDC25B/TRIP13/CDCA5/NCAPG2/KIF2C/UBE2S/TOP2A/RAD54B/CKS2/EHMT2/MAD2L2/KIF4A/NUSAP1/ANLN/NCAPD3/NUF2/PTTG1/PRC1/CDK1/TUBG1/BUB1/CCNB1IP1/KIF23/CCNB1/MZT1/NCAPD2/AURKA/PDGFRB/KIF18B/SPC25/NCAPG/RGCC/BUB1B/KNSTRN/KIF14/NCAPH/NEK2/AURKB/PLK1/ASPM/MYBL2/MND1/PSRC1/BRCA2/CHEK1/WNT5A/MSX1/MSH5/MRE11/RACGAP1/CCNE1/MAD2L1/CCNB2/P3H4/FBXO5/DLGAP5/TTK/CDC20/KNTC1/RAD51AP1/CDCA8/MTFR2/CDC25C/KIF18A/NDC80/CDT1/ZWILCH/CALR/KIF11/LIF/CENPE/CDCA2/MSX2/BMP4/BMP7/FLNA/OBSL1/IGF2/CDC14A/TEX11/EDN3/CHMP1B/PEX11A/PINK1/KAT2B/MCU/VPS4B/PPARG/DUSP1/IGF1/HSPA2/HOXA13",97
"GO:0000819","BP","GO:0000819","sister chromatid segregation","57/1647","225/18870",9.91084471708994e-14,8.31236704771929e-11,6.66038572040225e-11,"TPX2/BOD1/RRS1/UBE2C/NUP62/ANAPC1/TRIP13/CDCA5/NCAPG2/KIF2C/TOP2A/MAD2L2/KIF4A/NUSAP1/NCAPD3/NUF2/PRC1/CDK1/TUBG1/BUB1/KIF23/CCNB1/MZT1/NCAPD2/KIF18B/SPC25/NCAPG/BUB1B/KNSTRN/KIF14/NCAPH/NEK2/AURKB/PLK1/MYBL2/PSRC1/HECW2/RACGAP1/MAD2L1/FBXO5/DLGAP5/TTK/CDC20/KNTC1/CDCA8/KIF18A/NDC80/CDT1/ZWILCH/KIF11/CDC6/CENPE/FLNA/CHMP1B/KAT2B/VPS4B/DUSP1",57
"GO:0051783","BP","GO:0051783","regulation of nuclear division","42/1647","146/18870",1.9667875155269e-12,1.44337618795731e-09,1.15652281669602e-09,"UBE2C/NUP62/TRIP13/MAD2L2/NUSAP1/NUF2/BUB1/CCNB1/AURKA/PDGFRB/SPC25/RGCC/BUB1B/NEK2/AURKB/PLK1/CHEK1/WNT5A/MSX1/MAD2L1/FBXO5/DLGAP5/TTK/CDC20/KNTC1/RAD51AP1/CDCA8/CDC25C/NDC80/ZWILCH/CALR/LIF/CDCA2/MSX2/BMP4/BMP7/OBSL1/IGF2/EDN3/DUSP1/IGF1/HOXA13",42
"GO:0007088","BP","GO:0007088","regulation of mitotic nuclear division","36/1647","118/18870",1.12775421009214e-11,7.35671663050103e-09,5.89465914023597e-09,"UBE2C/NUP62/TRIP13/MAD2L2/NUSAP1/NUF2/BUB1/CCNB1/AURKA/PDGFRB/SPC25/RGCC/BUB1B/NEK2/AURKB/PLK1/CHEK1/MAD2L1/FBXO5/DLGAP5/TTK/CDC20/KNTC1/CDCA8/CDC25C/NDC80/ZWILCH/CDCA2/BMP4/BMP7/OBSL1/IGF2/EDN3/DUSP1/IGF1/HOXA13",36
"GO:0006261","BP","GO:0006261","DNA-templated DNA replication","43/1647","161/18870",1.6398802118706e-11,9.33849273774871e-09,7.48258147450878e-09,"RFC3/TWNK/MCM3/MCM7/MCM6/POLD2/MCM2/RFC4/GINS3/HMGA1/BLM/MCM10/POLA2/POLB/CHTF18/TIMELESS/NOC3L/GINS1/DONSON/CDC45/PCNA/POLA1/FEN1/ATR/BRCA2/BARD1/MRE11/BRCA1/CCNE1/DBF4/ORC6/FBXO5/MCM8/PRIM1/E2F7/POLE2/MCM4/CDT1/TIPIN/CDC6/ATRX/DACH1/POLD4",43
